1943.274, 51252, 1, C:\media\DRSRetrieve\top500\51252.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386551?width=1024&height=1024, OK
1943.277, 50587, 1, C:\media\DRSRetrieve\top500\50587.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17358107?width=1024&height=1024, OK
1943.289, 75833, 1, C:\media\DRSRetrieve\top500\75833.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17825247?width=1024&height=1024, OK
1943.377, 51274, 1, C:\media\DRSRetrieve\top500\51274.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386573?width=1024&height=1024, OK
1943.378, 30643, 1, C:\media\DRSRetrieve\top500\30643.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17357884?width=1024&height=1024, OK
1943.387, DDC100812, 1, C:\media\DRSRetrieve\top500\DDC100812.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18772456?width=1024&height=1024, OK
1943.453, 51472, 1, C:\media\DRSRetrieve\top500\51472.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386736?width=1024&height=1024, OK
1943.454, 51430, 1, C:\media\DRSRetrieve\top500\51430.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386705?width=1024&height=1024, OK
1943.50.468, 51001, 1, C:\media\DRSRetrieve\top500\51001.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386365?width=1024&height=1024, OK
1943.50.628, 50838, 1, C:\media\DRSRetrieve\top500\50838.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17358212?width=1024&height=1024, OK
1943.50.649, 21029, 1, C:\media\DRSRetrieve\top500\21029.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17288901?width=1024&height=1024, OK
1943.515, 51273, 1, C:\media\DRSRetrieve\top500\51273.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386572?width=1024&height=1024, OK
1943.52.100, 51312, 1, C:\media\DRSRetrieve\top500\51312.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386605?width=1024&height=1024, OK
1943.52.103, 51090, 1, C:\media\DRSRetrieve\top500\51090.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386421?width=1024&height=1024, OK
1943.52.157, 51005, 1, C:\media\DRSRetrieve\top500\51005.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386368?width=1024&height=1024, OK
1943.53.22, DDC105099, 1, C:\media\DRSRetrieve\top500\DDC105099.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8527987?width=1024&height=1024, OK
